GEOID20,District
132419703021008,9
132419703021009,9
132419703021010,9
132419703021011,9
132419703021012,9
132419703021013,9
132419703021014,9
132419703021015,9
132419703021016,9
132419703021017,9
132419703021018,9
132419703021019,9
132419703021020,9
132419703021021,9
132419703021022,9
132419703021023,9
132419703021024,9
132419703021025,9
132419703021026,9
132419703021027,9
132419703021028,9
132419703021029,9
132419703021030,9
132419703021031,9
132419703021032,9
132419703021033,9
132419703021034,9
132419703021035,9
132419703021036,9
132419703021037,9
132419703021038,9
132419703021039,9
132419703021040,9
132419703021041,9
132419703021042,9
132419703021043,9
132419703021044,9
132419703021045,9
132419703021046,9
132419703021047,9
132419703021048,9
132419703021049,9
132419703021050,9
132419703021051,9
132419703021052,9
132419703021053,9
132419703021054,9
132419703021055,9
132419703021056,9
132419703021057,9
132419703021058,9
132419703021059,9
132419703021060,9
132419703021061,9
132419703021062,9
132419703021063,9
132419703021064,9
132419703021065,9
132419703021066,9
132419703021067,9
132419703021068,9
132419703021069,9
132419703021070,9
132419703021071,9
132419703021072,9
132419703021073,9
132419703021074,9
132419703031000,9
132419703031001,9
132419703031002,9
132419703031003,9
132419703031004,9
132419703031005,9
132419703031006,9
132419703031007,9
132419703031008,9
132419703031009,9
132419703031010,9
132419703031011,9
132419703031012,9
132419703031013,9
132419703031014,9
132419703031015,9
132419703031016,9
132419703031017,9
132419703031018,9
132419703031019,9
132419703031020,9
132419703031021,9
132419703031022,9
132419703031023,9
132419703031024,9
132419703031025,9
132419703031026,9
132419703031027,9
132419703031028,9
132419703031029,9
132419703031030,9
132419703031031,9
